time,seconds_elapsed,dBFS
1773200121990000000,13.417000244140626,-27
1773200122100000000,13.527,-26
1773200122211000000,13.638,-26
1773200122323000000,13.75,-28
1773200122434000000,13.860999755859375,-27
1773200122545000000,13.972,-24
1773200122656000000,14.083,-26
1773200122766000000,14.193000244140626,-29
1773200122877000000,14.304,-28
1773200122990000000,14.417000244140626,-32
1773200123100000000,14.527,-31
1773200123212000000,14.639,-33
1773200123323000000,14.75,-33
1773200123433000000,14.86,-36
1773200123544000000,14.971,-31
1773200123655000000,15.082,-30
1773200123774000000,15.201000244140625,-27
1773200123877000000,15.304,-32
1773200123988000000,15.415,-33
1773200124100000000,15.527,-34
1773200124211000000,15.638,-33
1773200124322000000,15.748999755859375,-24
1773200124432000000,15.859,-29
1773200124542000000,15.969000244140625,-31
1773200124654000000,16.081000244140625,-33
1773200124766000000,16.193000244140624,-32
1773200124876000000,16.303,-27
1773200124989000000,16.416,-31
1773200125099000000,16.526,-30
1773200125210000000,16.636999755859375,-34
1773200125321000000,16.748,-30
1773200125433000000,16.86,-32
1773200125543000000,16.97,-27
1773200125654000000,17.081000244140625,-37
1773200125766000000,17.193000244140624,-30
1773200125875000000,17.302,-32
1773200125987000000,17.414,-35
1773200126098000000,17.524999755859376,-34
1773200126209000000,17.636,-28
1773200126321000000,17.748,-33
1773200126432000000,17.859,-34
1773200126543000000,17.97,-34
1773200126653000000,18.08,-32
1773200126766000000,18.193000244140624,-33
1773200126878000000,18.305000244140626,-28
1773200126986000000,18.412999755859374,-32
1773200127098000000,18.524999755859376,-30
1773200127209000000,18.636,-31
1773200127319000000,18.746,-28
1773200127431000000,18.858,-30
1773200127544000000,18.971,-29
1773200127653000000,19.08,-29
1773200127766000000,19.193000244140624,-30
1773200127875000000,19.302,-35
1773200127987000000,19.414,-35
1773200128098000000,19.524999755859376,-35
1773200128209000000,19.636,-35
1773200128319000000,19.746,-38
1773200128431000000,19.858,-35
1773200128542000000,19.969000244140624,-36
1773200128658000000,20.084999755859375,-38
1773200128764000000,20.191,-36
1773200128876000000,20.303,-38
1773200128987000000,20.414,-33
1773200129097000000,20.524,-35
1773200129209000000,20.636,-35
1773200129318000000,20.745000244140623,-32
1773200129431000000,20.858,-34
1773200129541000000,20.968,-32
1773200129653000000,21.08,-31
1773200129764000000,21.191,-33
1773200129877000000,21.304,-31
1773200129985000000,21.412,-32
1773200130097000000,21.524,-24
1773200130207000000,21.634,-22
1773200130318000000,21.745000244140623,-28
1773200130431000000,21.858,-31
1773200130541000000,21.968,-17
1773200130652000000,22.079,-20
1773200130764000000,22.191,-29
1773200130874000000,22.300999755859376,-37
1773200130985000000,22.412,-37
1773200131097000000,22.524,-36
1773200131209000000,22.636,-38
1773200131318000000,22.745000244140623,-34
1773200131430000000,22.857000244140625,-39
1773200131541000000,22.968,-39
1773200131651000000,23.078,-38
1773200131764000000,23.191,-39
1773200131875000000,23.302,-38
1773200131984000000,23.411,-29
1773200132096000000,23.523,-13
1773200132207000000,23.634,-1
1773200132319000000,23.746,-14
1773200132429000000,23.856,-17
1773200132541000000,23.968,-5
1773200132651000000,24.078,-17
1773200132763000000,24.19,-26
1773200132874000000,24.300999755859376,-38
1773200132985000000,24.412,-42
1773200133096000000,24.523,-42
1773200133206000000,24.633000244140625,-29
1773200133318000000,24.745000244140623,-25
1773200133429000000,24.856,-23
1773200133539000000,24.966,-28
1773200133651000000,25.078,-35
1773200133763000000,25.19,-38
1773200133872000000,25.299,-43
1773200133983000000,25.41,-37
1773200134103000000,25.53,-38
1773200134207000000,25.634,-40
1773200134318000000,25.745000244140623,-30
1773200134429000000,25.856,-24
1773200134540000000,25.967,-25
1773200134651000000,26.078,-22
1773200134762000000,26.188999755859374,-27
1773200134872000000,26.299,-33
1773200134983000000,26.41,-38
1773200135096000000,26.523,-40
1773200135207000000,26.634,-41
1773200135317000000,26.744,-19
1773200135428000000,26.855,-17
1773200135538000000,26.964999755859374,-24
1773200135650000000,27.076999755859376,-24
1773200135760000000,27.187,-23
1773200135871000000,27.298,-33
1773200135984000000,27.411,-39
1773200136094000000,27.521000244140627,-38
1773200136204000000,27.631,-33
1773200136316000000,27.743,-30
1773200136427000000,27.854,-28
1773200136540000000,27.967,-26
1773200136648000000,28.075,-27
1773200136760000000,28.187,-20
1773200136871000000,28.298,-30
1773200136983000000,28.41,-30
1773200137094000000,28.521000244140627,-31
1773200137209000000,28.636,-31
1773200137316000000,28.743,-17
1773200137426000000,28.852999755859376,-24
1773200137538000000,28.964999755859374,-19
1773200137649000000,29.076,-24
1773200137759000000,29.186,-26
1773200137871000000,29.298,-33
1773200137982000000,29.409000244140625,-34
1773200138094000000,29.521000244140627,-29
1773200138204000000,29.631,-13
1773200138315000000,29.742,0
1773200138426000000,29.852999755859376,-12
1773200138538000000,29.964999755859374,-29
1773200138648000000,30.075,-48
1773200138759000000,30.186,-46
1773200138870000000,30.297000244140627,-47
1773200138981000000,30.408,-49
1773200139093000000,30.52,-45
1773200139204000000,30.631,-43
1773200139316000000,30.743,-52
1773200139426000000,30.852999755859376,-48
1773200139539000000,30.966,-49
1773200139649000000,31.076,-43
1773200139760000000,31.187,-43
1773200139870000000,31.297000244140627,-42
1773200139981000000,31.408,-39
1773200140092000000,31.519,-39
1773200140204000000,31.631,-33
1773200140315000000,31.742,-38
1773200140426000000,31.852999755859376,-40
1773200140540000000,31.967,-37
1773200140648000000,32.075,-40
1773200140759000000,32.186,-35
1773200140870000000,32.29700024414063,-37
1773200140981000000,32.408,-34
1773200141093000000,32.52,-35
1773200141203000000,32.63,-40
1773200141315000000,32.742,-32
1773200141426000000,32.85299975585937,-36
1773200141537000000,32.964,-33
1773200141648000000,33.075,-31
1773200141758000000,33.185000244140625,-27
1773200141870000000,33.29700024414063,-31
1773200141982000000,33.40900024414063,-29
1773200142092000000,33.519,-29
1773200142204000000,33.631,-33
1773200142314000000,33.74099975585938,-23
1773200142426000000,33.85299975585937,-30
1773200142536000000,33.963,-29
1773200142647000000,34.074,-32
1773200142759000000,34.186,-33
1773200142869000000,34.296,-31
1773200142981000000,34.408,-36
1773200143091000000,34.518,-37
1773200143204000000,34.631,-36
1773200143313000000,34.74,-24
1773200143426000000,34.85299975585937,-24
1773200143536000000,34.963,-30
1773200143647000000,35.074,-31
1773200143758000000,35.185000244140625,-21
1773200143869000000,35.296,-24
1773200143979000000,35.406,-31
1773200144090000000,35.51699975585937,-31
1773200144203000000,35.63,-36
1773200144315000000,35.742,-36
1773200144431000000,35.858,-36
1773200144536000000,35.963,-37
1773200144646000000,36.07300024414062,-36
1773200144758000000,36.185000244140625,-34
1773200144868000000,36.295,-35
1773200144980000000,36.407,-37
1773200145091000000,36.518,-40
1773200145203000000,36.63,-34
1773200145313000000,36.74,-36
1773200145422000000,36.849000244140626,-32
1773200145535000000,36.962,-26
1773200145647000000,37.074,-19
1773200145756000000,37.183,-14
1773200145867000000,37.294,-28
1773200145980000000,37.407,-34
1773200146090000000,37.51699975585937,-29
1773200146202000000,37.628999755859375,-28
1773200146313000000,37.74,-31
