time,seconds_elapsed,dBFS
1773231955738000000,8.327999755859375,-29
1773231955850000000,8.439999755859375,-25
1773231955961000000,8.551,-33
1773231956072000000,8.662,-28
1773231956184000000,8.774,-23
1773231956294000000,8.884000244140625,-23
1773231956404000000,8.994,-24
1773231956517000000,9.107,-32
1773231956626000000,9.215999755859375,-32
1773231956738000000,9.327999755859375,-35
1773231956849000000,9.439,-35
1773231956960000000,9.55,-35
1773231957071000000,9.661,-35
1773231957181000000,9.771,-33
1773231957293000000,9.883,-35
1773231957406000000,9.996000244140625,-37
1773231957515000000,10.105,-40
1773231957626000000,10.215999755859375,-40
1773231957737000000,10.327,-38
1773231957849000000,10.439,-31
1773231957960000000,10.55,-32
1773231958071000000,10.661,-31
1773231958183000000,10.773,-26
1773231958292000000,10.882,-29
1773231958404000000,10.994,-36
1773231958516000000,11.106,-32
1773231958629000000,11.219,-31
1773231958736000000,11.326,-28
1773231958847000000,11.437,-26
1773231958959000000,11.549,-27
1773231959070000000,11.660000244140624,-27
1773231959182000000,11.772000244140624,-31
1773231959292000000,11.882,-31
1773231959402000000,11.991999755859375,-35
1773231959514000000,12.103999755859375,-33
1773231959625000000,12.215,-35
1773231959735000000,12.325,-35
1773231959848000000,12.438,-31
1773231959959000000,12.549,-29
1773231960069000000,12.659,-26
1773231960181000000,12.771,-26
1773231960291000000,12.881,-24
1773231960402000000,12.991999755859375,-29
1773231960513000000,13.103,-33
1773231960625000000,13.215,-26
1773231960735000000,13.325,-33
1773231960846000000,13.436000244140626,-34
1773231960960000000,13.55,-31
1773231961069000000,13.659,-35
1773231961181000000,13.771,-37
1773231961291000000,13.881,-35
1773231961402000000,13.991999755859375,-37
1773231961513000000,14.103,-37
1773231961624000000,14.214,-37
1773231961737000000,14.327,-38
1773231961846000000,14.436000244140626,-33
1773231961957000000,14.547,-31
1773231962068000000,14.658,-31
1773231962181000000,14.771,-26
1773231962291000000,14.881,-26
1773231962402000000,14.991999755859375,-28
1773231962512000000,15.102,-31
1773231962624000000,15.214,-28
