time,seconds_elapsed,dBFS
1773230452508000000,36.126,-26
1773230452621000000,36.239,-32
1773230452732000000,36.35,-29
1773230452841000000,36.459,-28
1773230452952000000,36.57,-27
1773230453064000000,36.682,-25
1773230453174000000,36.792000244140624,-33
1773230453286000000,36.904000244140626,-32
1773230453397000000,37.015,-27
1773230453508000000,37.126,-32
1773230453620000000,37.238,-35
1773230453729000000,37.347,-33
1773230453841000000,37.459,-36
1773230453954000000,37.57199975585937,-33
1773230454064000000,37.682,-37
1773230454173000000,37.791,-33
1773230454284000000,37.902,-36
1773230454396000000,38.014,-37
1773230454510000000,38.12800024414062,-32
1773230454619000000,38.237,-31
1773230454730000000,38.34799975585938,-31
1773230454839000000,38.457,-33
1773230454951000000,38.569,-29
1773230455063000000,38.681,-25
1773230455174000000,38.792000244140624,-33
1773230455286000000,38.904000244140626,-19
1773230455395000000,39.013,-21
1773230455507000000,39.125,-28
1773230455619000000,39.237,-26
1773230455728000000,39.346,-29
1773230455839000000,39.457,-19
1773230455952000000,39.57,-27
1773230456063000000,39.681,-28
1773230456177000000,39.795,-28
1773230456285000000,39.903,-26
1773230456395000000,40.013,-28
1773230456507000000,40.125,-24
1773230456618000000,40.235999755859375,-26
1773230456729000000,40.347,-24
1773230456840000000,40.458,-19
1773230456951000000,40.569,-21
1773230457062000000,40.68000024414062,-23
1773230457171000000,40.789,-29
1773230457285000000,40.903,-23
1773230457394000000,41.01199975585938,-25
1773230457505000000,41.123,-21
1773230457618000000,41.235999755859375,-20
1773230457728000000,41.346,-21
1773230457839000000,41.457,-18
1773230457949000000,41.567,-18
1773230458062000000,41.68000024414062,-21
1773230458173000000,41.791,-20
1773230458283000000,41.901,-21
1773230458393000000,42.011,-27
1773230458507000000,42.125,-21
1773230458617000000,42.235,-11
1773230458729000000,42.347,-23
1773230458839000000,42.457,-21
1773230458949000000,42.567,-22
1773230459062000000,42.68000024414062,-16
1773230459173000000,42.791,-20
1773230459285000000,42.903,-18
1773230459393000000,43.011,-17
1773230459505000000,43.123,-23
1773230459617000000,43.235,-24
1773230459727000000,43.345,-23
1773230459839000000,43.457,-23
1773230459949000000,43.567,-19
1773230460061000000,43.679,-24
1773230460172000000,43.79,-27
1773230460283000000,43.901,-31
1773230460392000000,44.01,-22
1773230460505000000,44.123,-23
1773230460623000000,44.241,-27
1773230460728000000,44.346,-28
1773230460837000000,44.455,-26
1773230460949000000,44.567,-22
1773230461061000000,44.679,-30
1773230461172000000,44.79,-28
1773230461282000000,44.899999755859376,-32
1773230461393000000,45.011,-30
1773230461505000000,45.123,-30
1773230461615000000,45.233,-24
1773230461727000000,45.345,-31
1773230461837000000,45.455,-34
1773230461948000000,45.566,-35
1773230462061000000,45.679,-30
1773230462171000000,45.789,-29
1773230462281000000,45.899,-24
1773230462394000000,46.01199975585938,-18
1773230462504000000,46.122,-26
1773230462614000000,46.23200024414062,-25
1773230462725000000,46.343,-20
1773230462837000000,46.455,-24
1773230462948000000,46.566,-20
1773230463059000000,46.677,-20
1773230463171000000,46.789,-19
1773230463281000000,46.899,-22
1773230463392000000,47.01,-14
1773230463506000000,47.12399975585937,-24
1773230463615000000,47.233,-16
1773230463730000000,47.34799975585938,-23
1773230463836000000,47.454,-21
1773230463947000000,47.565,-21
1773230464058000000,47.67599975585937,-20
1773230464170000000,47.787999755859374,-21
1773230464280000000,47.898,-23
1773230464392000000,48.01,-27
1773230464503000000,48.121,-21
1773230464613000000,48.231,-20
1773230464726000000,48.344000244140624,-19
1773230464836000000,48.454,-17
1773230464948000000,48.566,-19
1773230465060000000,48.678,-19
1773230465170000000,48.787999755859374,-24
1773230465280000000,48.898,-21
1773230465392000000,49.01,-16
1773230465501000000,49.119,-19
1773230465614000000,49.23200024414062,-15
1773230465724000000,49.342,-18
1773230465838000000,49.456000244140625,-20
1773230465947000000,49.565,-19
1773230466059000000,49.677,-19
1773230466170000000,49.787999755859374,-27
1773230466280000000,49.898,-22
1773230466392000000,50.01,-23
1773230466509000000,50.127,-23
1773230466614000000,50.23200024414062,-19
1773230466725000000,50.343,-18
1773230466836000000,50.454,-16
1773230466947000000,50.565,-11
1773230467059000000,50.677,-14
1773230467170000000,50.787999755859374,-17
1773230467280000000,50.898,-20
1773230467391000000,51.009,-23
1773230467503000000,51.121,-18
1773230467612000000,51.23,-28
1773230467724000000,51.342,-33
1773230467835000000,51.453,-35
1773230467947000000,51.565,-29
1773230468058000000,51.67599975585937,-35
1773230468169000000,51.787,-34
1773230468279000000,51.897,-38
1773230468390000000,52.008000244140625,-31
1773230468503000000,52.121,-31
1773230468613000000,52.231,-30
1773230468724000000,52.342,-30
1773230468835000000,52.453,-28
1773230468946000000,52.56399975585938,-28
1773230469056000000,52.674,-22
1773230469168000000,52.786,-29
1773230469279000000,52.897,-24
1773230469391000000,53.009,-18
1773230469501000000,53.119,-26
1773230469615000000,53.233,-20
1773230469723000000,53.341,-17
1773230469835000000,53.453,-22
1773230469945000000,53.563,-24
1773230470057000000,53.675,-21
1773230470168000000,53.786,-21
1773230470279000000,53.897,-25
1773230470392000000,54.01,-22
1773230470500000000,54.118,-23
1773230470611000000,54.229,-20
1773230470723000000,54.341,-25
1773230470834000000,54.451999755859376,-32
1773230470945000000,54.563,-29
1773230471056000000,54.674,-23
1773230471167000000,54.785,-19
1773230471279000000,54.897,-23
1773230471390000000,55.008000244140625,-26
1773230471501000000,55.119,-23
1773230471611000000,55.229,-25
1773230471721000000,55.339,-22
1773230471832000000,55.45,-24
1773230471944000000,55.562,-18
1773230472056000000,55.674,-29
1773230472167000000,55.785,-20
1773230472277000000,55.895,-17
1773230472389000000,56.007,-21
1773230472501000000,56.119,-20
1773230472610000000,56.22799975585937,-29
1773230472722000000,56.339999755859374,-26
1773230472834000000,56.451999755859376,-30
1773230472943000000,56.561,-35
1773230473056000000,56.674,-28
1773230473166000000,56.78400024414063,-28
1773230473278000000,56.89600024414062,-27
1773230473389000000,57.007,-27
1773230473500000000,57.118,-24
1773230473611000000,57.229,-22
1773230473721000000,57.339,-11
1773230473833000000,57.451,-20
1773230473944000000,57.562,-21
1773230474055000000,57.673,-20
1773230474167000000,57.785,-24
1773230474277000000,57.895,-22
1773230474389000000,58.007,-9
1773230474500000000,58.118,-17
1773230474610000000,58.22799975585937,-20
1773230474721000000,58.339,-12
1773230474833000000,58.451,-16
1773230474943000000,58.561,-16
1773230475055000000,58.673,-24
1773230475166000000,58.78400024414063,-22
1773230475281000000,58.899,-26
1773230475388000000,59.006,-20
1773230475500000000,59.118,-23
1773230475609000000,59.227,-26
1773230475721000000,59.339,-29
1773230475832000000,59.45,-27
1773230475942000000,59.560000244140625,-26
1773230476053000000,59.671,-27
1773230476164000000,59.782,-27
1773230476277000000,59.895,-21
1773230476391000000,60.009,-24
1773230476508000000,60.126,-24
1773230476611000000,60.229,-24
1773230476745000000,60.363,-21
1773230476854000000,60.472000244140624,-25
1773230476969000000,60.587,-23
1773230477085000000,60.703,-23
1773230477203000000,60.821,-26
1773230477319000000,60.937,-23
1773230477435000000,61.053,-27
1773230477554000000,61.171999755859375,-26
1773230477667000000,61.285,-28
1773230477782000000,61.40000024414063,-29
1773230477897000000,61.515,-25
1773230478013000000,61.631,-28
1773230478131000000,61.749,-27
1773230478245000000,61.863,-25
1773230478360000000,61.978,-25
1773230478478000000,62.096000244140626,-27
1773230478593000000,62.211,-23
1773230478709000000,62.327,-25
1773230478825000000,62.443,-30
1773230478941000000,62.559,-26
1773230479057000000,62.675,-28
1773230479174000000,62.792000244140624,-31
1773230479291000000,62.909,-25
1773230479407000000,63.025,-27
1773230479521000000,63.139,-28
1773230479642000000,63.259999755859376,-27
1773230479756000000,63.374,-32
1773230479872000000,63.49,-30
1773230479989000000,63.607,-30
1773230480107000000,63.725,-31
1773230480225000000,63.843,-31
1773230480341000000,63.959,-29
1773230480457000000,64.075,-27
1773230480573000000,64.191,-26
1773230480690000000,64.30799975585937,-23
1773230480830000000,64.44800024414063,-25
1773230480935000000,64.553,-28
1773230481048000000,64.666,-29
1773230481151000000,64.769,-29
1773230481256000000,64.874,-35
1773230481368000000,64.986,-160
1773230481483000000,65.101,-160
1773230481601000000,65.219,-160
1773230481716000000,65.334,-160
1773230481832000000,65.45,-160
1773230481946000000,65.56399975585937,-160
1773230482063000000,65.681,-160
1773230482177000000,65.795,-160
1773230482282000000,65.89999975585937,-160
1773230482399000000,66.017,-160
1773230482515000000,66.133,-160
1773230482631000000,66.249,-160
1773230482748000000,66.366,-160
1773230482862000000,66.48000024414063,-160
1773230482980000000,66.598,-160
1773230483095000000,66.713,-160
1773230483211000000,66.829,-160
1773230483328000000,66.946,-160
1773230483444000000,67.062,-160
1773230483560000000,67.178,-160
1773230483675000000,67.293,-160
1773230483791000000,67.409,-160
1773230483908000000,67.526,-160
1773230484023000000,67.641,-160
1773230484139000000,67.757,-160
1773230484255000000,67.873,-160
1773230484372000000,67.99,-160
1773230484488000000,68.106,-160
1773230484604000000,68.222,-160
1773230484722000000,68.33999975585938,-160
1773230484836000000,68.454,-160
1773230484952000000,68.57,-160
1773230485068000000,68.686,-160
1773230485185000000,68.803,-160
1773230485301000000,68.919,-160
1773230485419000000,69.037,-160
1773230485533000000,69.151,-160
1773230485649000000,69.267,-160
1773230485766000000,69.38400024414062,-160
1773230485880000000,69.498,-160
1773230486000000000,69.618,-160
1773230486113000000,69.731,-160
1773230486228000000,69.846,-160
1773230486345000000,69.963,-160
1773230486459000000,70.077,-160
1773230486576000000,70.194,-160
1773230486691000000,70.309,-160
1773230486807000000,70.425,-160
1773230486924000000,70.542,-160
1773230487040000000,70.658,-160
1773230487155000000,70.773,-160
1773230487270000000,70.88800024414063,-160
1773230487386000000,71.00399975585937,-160
1773230487501000000,71.119,-160
1773230487619000000,71.237,-160
1773230487735000000,71.353,-160
1773230487850000000,71.46799975585938,-160
1773230487965000000,71.583,-160
1773230488081000000,71.699,-160
1773230488197000000,71.815,-160
1773230488312000000,71.93,-160
1773230488429000000,72.047,-160
1773230488545000000,72.163,-160
1773230488658000000,72.27599975585937,-160
1773230488775000000,72.393,-160
1773230488891000000,72.509,-160
1773230489007000000,72.625,-160
1773230489124000000,72.742,-160
1773230489239000000,72.857,-160
1773230489355000000,72.973,-160
1773230489471000000,73.089,-160
1773230489587000000,73.205,-160
1773230489703000000,73.321,-160
1773230489819000000,73.437,-160
1773230489936000000,73.554,-160
1773230490053000000,73.671,-160
1773230490167000000,73.785,-160
1773230490284000000,73.902,-160
1773230490399000000,74.017,-160
1773230490516000000,74.134,-160
1773230490632000000,74.25,-160
1773230490749000000,74.367,-160
1773230490856000000,74.474,-160
1773230490971000000,74.589,-160
1773230491087000000,74.705,-160
1773230491205000000,74.823,-160
1773230491322000000,74.93999975585938,-160
1773230491436000000,75.054,-160
1773230491550000000,75.16800024414063,-160
1773230491666000000,75.28399975585937,-160
1773230491784000000,75.402,-160
1773230491897000000,75.515,-160
1773230492014000000,75.63200024414063,-160
1773230492129000000,75.747,-160
